OfferID,PricePerTicket,GroupSize,TimestampOrder
cope-030,500,5,30
cope-004,500,4,4
cope-005,500,4,5
cope-006,500,4,6
cope-016,500,4,16
cope-018,500,4,18
cope-021,500,4,21
cope-025,500,4,25
cope-027,500,4,27
cope-028,500,4,28
cope-001,500,3,1
cope-012,500,3,12
cope-013,500,3,13
cope-015,500,3,15
cope-026,500,3,26
cope-002,500,2,2
cope-003,500,2,3
cope-007,500,2,7
cope-008,500,2,8
cope-009,500,2,9
cope-010,500,2,10
cope-011,500,2,11
cope-014,500,2,14
cope-019,500,2,19
cope-020,500,2,20
cope-022,500,2,22
cope-023,500,2,23
cope-024,500,2,24
cope-029,500,2,29
cope-017,500,1,17
cope-056,475,5,56
cope-032,475,4,32
cope-034,475,4,34
cope-036,475,4,36
cope-049,475,4,49
cope-053,475,4,53
cope-058,475,4,58
cope-059,475,4,59
cope-060,475,4,60
cope-031,475,3,31
cope-033,475,3,33
cope-035,475,3,35
cope-044,475,3,44
cope-050,475,3,50
cope-051,475,3,51
cope-057,475,3,57
cope-037,475,2,37
cope-038,475,2,38
cope-039,475,2,39
cope-040,475,2,40
cope-041,475,2,41
cope-042,475,2,42
cope-043,475,2,43
cope-045,475,2,45
cope-046,475,2,46
cope-047,475,2,47
cope-048,475,2,48
cope-052,475,2,52
cope-054,475,2,54
cope-055,475,2,55
cope-080,450,5,80
cope-089,450,5,89
cope-090,450,5,90
cope-065,450,4,65
cope-066,450,4,66
cope-070,450,4,70
cope-077,450,4,77
cope-085,450,4,85
cope-092,450,4,92
cope-068,450,3,68
cope-074,450,3,74
cope-076,450,3,76
cope-084,450,3,84
cope-061,450,2,61
cope-062,450,2,62
cope-063,450,2,63
cope-064,450,2,64
cope-067,450,2,67
cope-069,450,2,69
cope-071,450,2,71
cope-072,450,2,72
cope-073,450,2,73
cope-075,450,2,75
cope-078,450,2,78
cope-079,450,2,79
cope-081,450,2,81
cope-082,450,2,82
cope-083,450,2,83
cope-086,450,2,86
cope-087,450,2,87
cope-088,450,2,88
cope-091,450,1,91
cope-099,425,4,99
cope-100,425,4,100
cope-104,425,4,104
cope-105,425,4,105
cope-110,425,4,110
cope-112,425,4,112
cope-116,425,4,116
cope-117,425,4,117
cope-120,425,4,120
cope-121,425,4,121
cope-125,425,4,125
cope-126,425,4,126
cope-131,425,4,131
cope-135,425,4,135
cope-095,425,3,95
cope-107,425,3,107
cope-108,425,3,108
cope-129,425,3,129
cope-093,425,2,93
cope-094,425,2,94
cope-096,425,2,96
cope-097,425,2,97
cope-098,425,2,98
cope-101,425,2,101
cope-102,425,2,102
cope-103,425,2,103
cope-106,425,2,106
cope-109,425,2,109
cope-111,425,2,111
cope-113,425,2,113
cope-114,425,2,114
cope-118,425,2,118
cope-119,425,2,119
cope-122,425,2,122
cope-123,425,2,123
cope-124,425,2,124
cope-127,425,2,127
cope-128,425,2,128
cope-130,425,2,130
cope-132,425,2,132
cope-133,425,2,133
cope-134,425,2,134
cope-115,425,1,115
cope-138,400,5,138
cope-150,400,4,150
cope-151,400,4,151
cope-154,400,4,154
cope-157,400,4,157
cope-160,400,4,160
cope-161,400,4,161
cope-167,400,4,167
cope-168,400,4,168
cope-169,400,4,169
cope-172,400,4,172
cope-179,400,4,179
cope-144,400,3,144
cope-148,400,3,148
cope-158,400,3,158
cope-136,400,2,136
cope-137,400,2,137
cope-139,400,2,139
cope-140,400,2,140
cope-141,400,2,141
cope-142,400,2,142
cope-143,400,2,143
cope-145,400,2,145
cope-146,400,2,146
cope-147,400,2,147
cope-149,400,2,149
cope-152,400,2,152
cope-153,400,2,153
cope-155,400,2,155
cope-156,400,2,156
cope-159,400,2,159
cope-162,400,2,162
cope-163,400,2,163
cope-164,400,2,164
cope-165,400,2,165
cope-166,400,2,166
cope-170,400,2,170
cope-171,400,2,171
cope-173,400,2,173
cope-174,400,2,174
cope-175,400,2,175
cope-176,400,2,176
cope-177,400,2,177
cope-178,400,2,178
cope-184,375,5,184
cope-185,375,5,185
cope-193,375,5,193
cope-198,375,5,198
cope-202,375,5,202
cope-181,375,4,181
cope-186,375,4,186
cope-194,375,4,194
cope-197,375,4,197
cope-199,375,4,199
cope-204,375,4,204
cope-208,375,4,208
cope-210,375,4,210
cope-213,375,4,213
cope-216,375,4,216
cope-182,375,3,182
cope-203,375,3,203
cope-206,375,3,206
cope-212,375,3,212
cope-180,375,2,180
cope-183,375,2,183
cope-187,375,2,187
cope-188,375,2,188
cope-189,375,2,189
cope-190,375,2,190
cope-191,375,2,191
cope-192,375,2,192
cope-195,375,2,195
cope-196,375,2,196
cope-200,375,2,200
cope-201,375,2,201
cope-205,375,2,205
cope-207,375,2,207
cope-209,375,2,209
cope-211,375,2,211
cope-214,375,2,214
cope-215,375,2,215
cope-217,375,2,217
cope-234,350,5,234
cope-246,350,5,246
cope-223,350,4,223
cope-225,350,4,225
cope-228,350,4,228
cope-231,350,4,231
cope-238,350,4,238
cope-239,350,4,239
cope-240,350,4,240
cope-243,350,4,243
cope-244,350,4,244
cope-249,350,4,249
cope-250,350,4,250
cope-257,350,4,257
cope-218,350,3,218
cope-219,350,3,219
cope-221,350,3,221
cope-245,350,3,245
cope-254,350,3,254
cope-256,350,3,256
cope-220,350,2,220
cope-222,350,2,222
cope-224,350,2,224
cope-226,350,2,226
cope-227,350,2,227
cope-229,350,2,229
cope-230,350,2,230
cope-232,350,2,232
cope-233,350,2,233
cope-235,350,2,235
cope-236,350,2,236
cope-237,350,2,237
cope-241,350,2,241
cope-242,350,2,242
cope-248,350,2,248
cope-251,350,2,251
cope-252,350,2,252
cope-253,350,2,253
cope-255,350,2,255
cope-247,350,1,247
cope-296,325,5,296
cope-262,325,4,262
cope-263,325,4,263
cope-270,325,4,270
cope-274,325,4,274
cope-275,325,4,275
cope-277,325,4,277
cope-282,325,4,282
cope-283,325,4,283
cope-284,325,4,284
cope-285,325,4,285
cope-289,325,4,289
cope-290,325,4,290
cope-294,325,4,294
cope-295,325,4,295
cope-297,325,4,297
cope-300,325,4,300
cope-301,325,4,301
cope-302,325,4,302
cope-303,325,4,303
cope-259,325,3,259
cope-268,325,3,268
cope-271,325,3,271
cope-276,325,3,276
cope-278,325,3,278
cope-292,325,3,292
cope-258,325,2,258
cope-260,325,2,260
cope-261,325,2,261
cope-264,325,2,264
cope-265,325,2,265
cope-266,325,2,266
cope-269,325,2,269
cope-272,325,2,272
cope-273,325,2,273
cope-279,325,2,279
cope-280,325,2,280
cope-281,325,2,281
cope-286,325,2,286
cope-287,325,2,287
cope-288,325,2,288
cope-291,325,2,291
cope-293,325,2,293
cope-299,325,2,299
cope-267,325,1,267
cope-298,325,1,298
cope-318,300,5,318
cope-321,300,5,321
cope-324,300,5,324
cope-325,300,5,325
cope-305,300,4,305
cope-307,300,4,307
cope-308,300,4,308
cope-310,300,4,310
cope-313,300,4,313
cope-317,300,4,317
cope-322,300,4,322
cope-328,300,4,328
cope-335,300,4,335
cope-338,300,4,338
cope-339,300,4,339
cope-340,300,4,340
cope-343,300,4,343
cope-346,300,4,346
cope-347,300,4,347
cope-319,300,3,319
cope-330,300,3,330
cope-333,300,3,333
cope-304,300,2,304
cope-306,300,2,306
cope-309,300,2,309
cope-311,300,2,311
cope-312,300,2,312
cope-314,300,2,314
cope-315,300,2,315
cope-316,300,2,316
cope-320,300,2,320
cope-323,300,2,323
cope-326,300,2,326
cope-327,300,2,327
cope-329,300,2,329
cope-331,300,2,331
cope-332,300,2,332
cope-334,300,2,334
cope-337,300,2,337
cope-341,300,2,341
cope-342,300,2,342
cope-344,300,2,344
cope-345,300,2,345
cope-348,300,2,348
cope-349,300,2,349
cope-336,300,1,336
cope-355,275,4,355
cope-356,275,4,356
cope-357,275,4,357
cope-369,275,4,369
cope-370,275,4,370
cope-376,275,4,376
cope-377,275,4,377
cope-378,275,4,378
cope-383,275,4,383
cope-388,275,4,388
cope-393,275,4,393
cope-397,275,4,397
cope-401,275,4,401
cope-358,275,3,358
cope-360,275,3,360
cope-363,275,3,363
cope-364,275,3,364
cope-374,275,3,374
cope-386,275,3,386
cope-391,275,3,391
cope-350,275,2,350
cope-351,275,2,351
cope-352,275,2,352
cope-353,275,2,353
cope-354,275,2,354
cope-359,275,2,359
cope-361,275,2,361
cope-362,275,2,362
cope-365,275,2,365
cope-366,275,2,366
cope-367,275,2,367
cope-368,275,2,368
cope-371,275,2,371
cope-372,275,2,372
cope-373,275,2,373
cope-375,275,2,375
cope-379,275,2,379
cope-380,275,2,380
cope-381,275,2,381
cope-382,275,2,382
cope-384,275,2,384
cope-385,275,2,385
cope-387,275,2,387
cope-389,275,2,389
cope-390,275,2,390
cope-394,275,2,394
cope-395,275,2,395
cope-396,275,2,396
cope-398,275,2,398
cope-399,275,2,399
cope-400,275,2,400
cope-392,275,1,392
cope-405,250,5,405
cope-403,250,4,403
cope-404,250,4,404
cope-406,250,4,406
cope-407,250,4,407
cope-409,250,4,409
cope-411,250,4,411
cope-413,250,4,413
cope-414,250,4,414
cope-419,250,4,419
cope-430,250,4,430
cope-431,250,4,431
cope-438,250,4,438
cope-440,250,4,440
cope-441,250,4,441
cope-442,250,4,442
cope-445,250,4,445
cope-446,250,4,446
cope-447,250,4,447
cope-408,250,3,408
cope-412,250,3,412
cope-418,250,3,418
cope-421,250,3,421
cope-427,250,3,427
cope-434,250,3,434
cope-439,250,3,439
cope-402,250,2,402
cope-410,250,2,410
cope-415,250,2,415
cope-416,250,2,416
cope-417,250,2,417
cope-420,250,2,420
cope-422,250,2,422
cope-423,250,2,423
cope-424,250,2,424
cope-425,250,2,425
cope-426,250,2,426
cope-428,250,2,428
cope-429,250,2,429
cope-432,250,2,432
cope-433,250,2,433
cope-435,250,2,435
cope-436,250,2,436
cope-437,250,2,437
cope-443,250,2,443
cope-444,250,1,444
cope-478,225,5,478
cope-449,225,4,449
cope-456,225,4,456
cope-471,225,4,471
cope-473,225,4,473
cope-474,225,4,474
cope-480,225,4,480
cope-482,225,4,482
cope-483,225,4,483
cope-487,225,4,487
cope-490,225,4,490
cope-491,225,4,491
cope-450,225,3,450
cope-451,225,3,451
cope-461,225,3,461
cope-463,225,3,463
cope-479,225,3,479
cope-481,225,3,481
cope-488,225,3,488
cope-493,225,3,493
cope-448,225,2,448
cope-452,225,2,452
cope-453,225,2,453
cope-454,225,2,454
cope-455,225,2,455
cope-457,225,2,457
cope-458,225,2,458
cope-459,225,2,459
cope-460,225,2,460
cope-465,225,2,465
cope-466,225,2,466
cope-467,225,2,467
cope-468,225,2,468
cope-469,225,2,469
cope-470,225,2,470
cope-472,225,2,472
cope-475,225,2,475
cope-476,225,2,476
cope-484,225,2,484
cope-485,225,2,485
cope-486,225,2,486
cope-489,225,2,489
cope-492,225,2,492
cope-462,225,1,462
cope-464,225,1,464
cope-477,225,1,477
cope-511,200,5,511
cope-494,200,4,494
cope-496,200,4,496
cope-497,200,4,497
cope-499,200,4,499
cope-500,200,4,500
cope-502,200,4,502
cope-504,200,4,504
cope-507,200,4,507
cope-508,200,4,508
cope-505,200,3,505
cope-509,200,3,509
cope-495,200,2,495
cope-498,200,2,498
cope-501,200,2,501
cope-503,200,2,503
cope-506,200,2,506
cope-510,200,2,510
cope-512,200,2,512
